district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Spencer-E Brookfield,07670000,82,5.9,51,3.7,286,20.1,702,50.3,NA,NA,NA,NA,843,59.1,NA,NA,2021-22
Springfield,02810000,7083,29.8,3913,16.4,5928,24.7,20798,87.4,NA,NA,NA,NA,21723,90.6,NA,NA,2021-22
Springfield International Charter (District),04410000,226,14.9,167,11,234,15.4,915,60.2,NA,NA,NA,NA,1070,70.4,NA,NA,2021-22
Springfield Preparatory Charter School (District),35100000,101,23.3,70,16.2,85,19.6,334,77.1,NA,NA,NA,NA,365,84.3,NA,NA,2021-22
Stoneham,02840000,275,12.3,77,3.4,465,20.4,561,25,NA,NA,NA,NA,900,39.5,NA,NA,2021-22
Stoughton,02850000,679,19.5,266,7.7,595,16.9,1610,46.3,NA,NA,NA,NA,1984,56.4,NA,NA,2021-22
Sturbridge,02870000,22,2.6,22,2.6,133,15.6,182,21.5,NA,NA,NA,NA,291,34.2,NA,NA,2021-22
Sturgis Charter Public (District),04890000,109,12.9,9,1.1,136,16.1,211,24.9,NA,NA,NA,NA,317,37.5,NA,NA,2021-22
Sudbury,02880000,215,8.5,60,2.4,477,18.9,202,8,NA,NA,NA,NA,664,26.3,NA,NA,2021-22
Sunderland,02890000,22,11.7,11,5.9,37,19.5,75,39.9,NA,NA,NA,NA,98,51.6,NA,NA,2021-22
Sutton,02900000,37,3.1,17,1.4,219,17.9,223,18.4,NA,NA,NA,NA,395,32.3,NA,NA,2021-22
Swampscott,02910000,319,15.6,108,5.3,414,20,483,23.7,NA,NA,NA,NA,837,40.3,NA,NA,2021-22
Swansea,02920000,39,1.9,8,0.4,274,13.5,616,30.6,NA,NA,NA,NA,775,38.3,NA,NA,2021-22
Tantasqua,07700000,37,2.1,18,1,236,13.1,514,28.7,NA,NA,NA,NA,657,36.5,NA,NA,2021-22
Taunton,02930000,984,12.7,493,6.4,1527,19.4,4673,60.2,NA,NA,NA,NA,5260,67,NA,NA,2021-22
TEC Connections Academy Commonwealth Virtual School District,39020000,158,5.9,38,1.4,552,20.6,1451,54,NA,NA,NA,NA,1686,62.8,NA,NA,2021-22
Tewksbury,02950000,282,8.9,108,3.4,629,19.4,732,23,NA,NA,NA,NA,1231,37.9,NA,NA,2021-22
Tisbury,02960000,146,51,92,32.2,51,17.8,159,55.6,NA,NA,NA,NA,198,69.2,NA,NA,2021-22
Topsfield,02980000,6,1,3,0.5,117,18.7,43,6.9,NA,NA,NA,NA,150,24,NA,NA,2021-22
Tri-County Regional Vocational Technical,08780000,1,0.1,1,0.1,307,32.7,260,27.7,NA,NA,NA,NA,473,50.4,NA,NA,2021-22
Triton,07730000,81,3.7,26,1.2,416,18.5,744,33.6,NA,NA,NA,NA,1003,44.6,NA,NA,2021-22
Truro,03000000,2,1.8,2,1.8,20,17.9,53,47.7,NA,NA,NA,NA,65,58,NA,NA,2021-22
Tyngsborough,03010000,187,11.5,92,5.7,325,19.7,402,24.8,NA,NA,NA,NA,677,41.1,NA,NA,2021-22
UP Academy Charter School of Boston (District),04800000,162,51.1,80,25.2,95,30,268,84.5,NA,NA,NA,NA,287,90.5,NA,NA,2021-22
UP Academy Charter School of Dorchester (District),35050000,317,48.5,242,37.1,89,13.6,549,84.1,NA,NA,NA,NA,598,91.6,NA,NA,2021-22
Up-Island Regional,07740000,40,9.7,18,4.4,72,17.4,132,32,NA,NA,NA,NA,185,44.8,NA,NA,2021-22
Upper Cape Cod Regional Vocational Technical,08790000,0,0,0,0,202,27.2,315,42.3,NA,NA,NA,NA,427,57.4,NA,NA,2021-22
Uxbridge,03040000,82,5,31,1.9,285,17.4,482,29.6,NA,NA,NA,NA,660,40.2,NA,NA,2021-22
Veritas Preparatory Charter School (District),04980000,99,26.1,20,5.3,74,19.5,331,87.1,NA,NA,NA,NA,342,90,NA,NA,2021-22
Wachusett,07750000,292,4.3,131,1.9,959,14.1,1164,17.3,NA,NA,NA,NA,2002,29.5,NA,NA,2021-22
Wakefield,03050000,218,6.6,85,2.6,590,17.6,606,18.3,NA,NA,NA,NA,1083,32.4,NA,NA,2021-22
Wales,03060000,2,1.7,2,1.7,24,20.3,59,50,NA,NA,NA,NA,70,59.3,NA,NA,2021-22
Walpole,03070000,400,10.9,152,4.1,562,15.2,620,16.9,NA,NA,NA,NA,1116,30.1,NA,NA,2021-22
Waltham,03080000,2813,51.2,1325,24.1,930,16.7,2810,51.1,NA,NA,NA,NA,3497,62.9,NA,NA,2021-22
Ware,03090000,34,3,13,1.2,238,21,736,65.5,NA,NA,NA,NA,793,69.8,NA,NA,2021-22
Wareham,03100000,60,2.9,23,1.1,538,25.9,1375,67.3,NA,NA,NA,NA,1512,72.8,NA,NA,2021-22
Watertown,03140000,1001,38.9,391,15.2,512,19.6,979,38.1,NA,NA,NA,NA,1374,52.6,NA,NA,2021-22
Wayland,03150000,365,13.5,89,3.3,512,18.6,286,10.5,NA,NA,NA,NA,822,29.9,NA,NA,2021-22
Webster,03160000,310,18.3,205,12.1,407,23.5,1236,72.8,NA,NA,NA,NA,1370,79.2,NA,NA,2021-22
Wellesley,03170000,325,7.6,79,1.8,741,17.1,316,7.4,NA,NA,NA,NA,1114,25.6,NA,NA,2021-22
Wellfleet,03180000,3,2.7,1,0.9,18,15.9,53,47.3,NA,NA,NA,NA,58,51.3,NA,NA,2021-22
West Boylston,03220000,69,7.8,35,4,180,20.2,267,30.4,NA,NA,NA,NA,400,44.9,NA,NA,2021-22
West Bridgewater,03230000,58,4.2,34,2.5,161,11.6,353,25.6,NA,NA,NA,NA,479,34.6,NA,NA,2021-22
West Springfield,03320000,1084,28.1,375,9.7,729,18.7,2248,58.4,NA,NA,NA,NA,2543,65.4,NA,NA,2021-22
Westborough,03210000,1258,32.6,356,9.2,590,15.2,602,15.6,NA,NA,NA,NA,1475,38,NA,NA,2021-22
Westfield,03250000,618,12.9,268,5.6,1048,21.7,2391,50.1,NA,NA,NA,NA,2833,58.7,NA,NA,2021-22
Westford,03260000,597,12.8,91,1.9,770,16.3,452,9.7,NA,NA,NA,NA,1232,26.1,NA,NA,2021-22
Westhampton,03270000,0,0,0,0,24,23.3,31,30.1,NA,NA,NA,NA,45,43.7,NA,NA,2021-22
Weston,03300000,177,9.1,66,3.4,329,16.7,161,8.3,NA,NA,NA,NA,537,27.2,NA,NA,2021-22
Westport,03310000,37,2.6,21,1.5,269,18.7,512,35.8,NA,NA,NA,NA,673,46.7,NA,NA,2021-22
Westwood,03350000,182,6.3,21,0.7,579,19.9,211,7.3,NA,NA,NA,NA,761,26.2,NA,NA,2021-22
Weymouth,03360000,810,14.6,318,5.7,1240,22,2371,42.6,NA,NA,NA,NA,3106,55.1,NA,NA,2021-22
Whately,03370000,6,5,5,4.1,12,9.9,31,25.6,NA,NA,NA,NA,42,34.7,NA,NA,2021-22
Whitman-Hanson,07800000,163,4.6,80,2.2,597,16.6,1060,29.8,NA,NA,NA,NA,1456,40.5,NA,NA,2021-22
Whittier Regional Vocational Technical,08850000,88,6.9,15,1.2,247,19.3,528,41.2,NA,NA,NA,NA,684,53.4,NA,NA,2021-22
Williamsburg,03400000,2,1.4,1,0.7,21,15,49,35.5,NA,NA,NA,NA,60,42.9,NA,NA,2021-22
Wilmington,03420000,115,4.1,40,1.4,484,17,456,16.3,NA,NA,NA,NA,839,29.4,NA,NA,2021-22
Winchendon,03430000,39,3.2,24,2,285,23.2,717,59.5,NA,NA,NA,NA,832,67.6,NA,NA,2021-22
Winchester,03440000,868,19.9,134,3.1,722,16.4,320,7.3,NA,NA,NA,NA,1160,26.3,NA,NA,2021-22
Winthrop,03460000,376,20,156,8.3,295,15.6,753,40,NA,NA,NA,NA,960,50.6,NA,NA,2021-22
Woburn,03470000,928,21.6,403,9.4,787,18,1730,40.3,NA,NA,NA,NA,2290,52.5,NA,NA,2021-22
Worcester,03480000,13986,58.9,6708,28.3,5095,21.1,17638,74.3,NA,NA,NA,NA,20303,84.1,NA,NA,2021-22
Worthington,03490000,0,0,0,0,8,11.9,26,38.8,NA,NA,NA,NA,30,44.8,NA,NA,2021-22
Wrentham,03500000,50,5.4,26,2.8,171,18.5,136,14.8,NA,NA,NA,NA,291,31.5,NA,NA,2021-22
State Totals,00000000,218070,23.9,100231,11,174505,18.9,399140,43.8,NA,NA,NA,NA,512242,55.6,NA,NA,2021-22
Abby Kelley Foster Charter Public (District),04450000,925,64.9,157,11,175,12.3,NA,NA,NA,NA,NA,NA,802,56.3,552,38.7,2019-20
Abington,00010000,272,12.7,144,6.7,351,16.2,NA,NA,NA,NA,NA,NA,835,38.4,523,24.4,2019-20
Academy Of the Pacific Rim Charter Public (District),04120000,171,32.4,60,11.4,133,25.2,NA,NA,NA,NA,NA,NA,348,66,218,41.4,2019-20
Acton-Boxborough,06000000,1119,20.7,279,5.2,866,15.7,NA,NA,NA,NA,NA,NA,1511,27.5,382,7.1,2019-20
Acushnet,00030000,13,1.3,9,0.9,142,13.9,NA,NA,NA,NA,NA,NA,361,35.2,260,25.7,2019-20
Advanced Math and Science Academy Charter (District),04300000,237,24.6,32,3.3,61,6.3,NA,NA,NA,NA,NA,NA,231,24,82,8.5,2019-20
Agawam,00050000,427,11.6,168,4.6,599,16.2,NA,NA,NA,NA,NA,NA,1570,42.4,1105,30.1,2019-20
Alma del Mar Charter School (District),04090000,303,46.4,202,30.9,115,17.6,NA,NA,NA,NA,NA,NA,508,77.8,387,59.3,2019-20
Amesbury,00070000,77,3.8,41,2,468,22.8,NA,NA,NA,NA,NA,NA,783,38.2,465,23.1,2019-20
Amherst,00080000,340,31.1,179,16.4,233,21.3,NA,NA,NA,NA,NA,NA,537,49,346,31.7,2019-20
Amherst-Pelham,06050000,258,19.2,99,7.4,289,21.3,NA,NA,NA,NA,NA,NA,552,40.6,358,26.6,2019-20
Andover,00090000,963,16.4,181,3.1,1232,20.7,NA,NA,NA,NA,NA,NA,1835,30.9,501,8.6,2019-20
Argosy Collegiate Charter School (District),35090000,187,35.6,130,24.8,94,17.9,NA,NA,NA,NA,NA,NA,396,75.4,307,58.5,2019-20
Arlington,00100000,770,12.7,293,4.8,974,15.9,NA,NA,NA,NA,NA,NA,1623,26.5,476,7.9,2019-20
Ashburnham-Westminster,06100000,87,3.7,39,1.7,448,18.9,NA,NA,NA,NA,NA,NA,733,31,368,15.6,2019-20
Ashland,00140000,742,26,191,6.7,509,17.7,NA,NA,NA,NA,NA,NA,989,34.3,446,15.7,2019-20
Assabet Valley Regional Vocational Technical,08010000,173,15.2,44,3.9,308,27,NA,NA,NA,NA,NA,NA,599,52.5,330,28.9,2019-20
Athol-Royalston,06150000,54,3.6,32,2.1,384,24.9,NA,NA,NA,NA,NA,NA,974,63.1,821,54,2019-20
Atlantis Charter (District),04910000,325,25,167,12.8,177,13.6,NA,NA,NA,NA,NA,NA,746,57.3,565,43.4,2019-20
Attleboro,00160000,837,14,323,5.4,1003,16.7,NA,NA,NA,NA,NA,NA,2667,44.3,1821,30.4,2019-20
Auburn,00170000,218,8.3,65,2.5,274,10.3,NA,NA,NA,NA,NA,NA,801,30.2,513,19.5,2019-20
Avon,00180000,61,8.4,27,3.7,126,17.3,NA,NA,NA,NA,NA,NA,326,44.7,212,29.2,2019-20
Ayer Shirley School District,06160000,153,9.1,57,3.4,357,20.8,NA,NA,NA,NA,NA,NA,711,41.4,431,25.6,2019-20
Barnstable,00200000,1188,23.6,634,12.6,862,17,NA,NA,NA,NA,NA,NA,2714,53.4,1851,36.7,2019-20
Baystate Academy Charter Public School (District),35020000,108,23.3,41,8.9,92,19.9,NA,NA,NA,NA,NA,NA,349,75.4,307,66.3,2019-20
Bedford,00230000,500,18.6,155,5.8,475,17.4,NA,NA,NA,NA,NA,NA,858,31.4,250,9.3,2019-20
Belchertown,00240000,47,2.1,23,1,429,19,NA,NA,NA,NA,NA,NA,742,32.9,427,19.1,2019-20
Bellingham,00250000,99,4.6,43,2,453,20.9,NA,NA,NA,NA,NA,NA,800,36.8,438,20.5,2019-20
Belmont,00260000,1215,25.9,385,8.2,513,10.7,NA,NA,NA,NA,NA,NA,1330,27.7,335,7.1,2019-20
Benjamin Banneker Charter Public (District),04200000,88,26.2,17,5.1,50,14.9,NA,NA,NA,NA,NA,NA,195,58,165,49.1,2019-20
Benjamin Franklin Classical Charter Public (District),04470000,143,20.2,47,6.6,87,12.3,NA,NA,NA,NA,NA,NA,204,28.8,71,10,2019-20
Bentley Academy Charter School (District),35110000,159,47.9,70,21.1,47,14.2,NA,NA,NA,NA,NA,NA,256,77.1,228,68.7,2019-20
Berkley,00270000,8,0.9,8,0.9,141,15.4,NA,NA,NA,NA,NA,NA,273,29.7,169,18.5,2019-20
Berkshire Arts and Technology Charter Public (District),04140000,5,1.3,3,0.8,77,20.7,NA,NA,NA,NA,NA,NA,206,55.4,167,44.9,2019-20
Berkshire Hills,06180000,108,9.1,45,3.8,227,18.9,NA,NA,NA,NA,NA,NA,514,42.9,364,30.7,2019-20
Berlin-Boylston,06200000,103,9.8,24,2.3,177,16.7,NA,NA,NA,NA,NA,NA,299,28.3,134,12.8,2019-20
Beverly,00300000,414,8.8,172,3.7,919,19.2,NA,NA,NA,NA,NA,NA,1917,40.1,1234,26.3,2019-20
Billerica,00310000,460,9.6,70,1.5,962,19.8,NA,NA,NA,NA,NA,NA,1612,33.2,838,17.5,2019-20
Blackstone Valley Regional Vocational Technical,08050000,5,0.4,2,0.2,130,10.6,NA,NA,NA,NA,NA,NA,228,18.6,117,9.6,2019-20
Blackstone-Millville,06220000,104,6.3,28,1.7,292,17.5,NA,NA,NA,NA,NA,NA,644,38.7,404,24.6,2019-20
Blue Hills Regional Vocational Technical,08060000,67,7.8,8,0.9,218,25.5,NA,NA,NA,NA,NA,NA,404,47.2,220,25.7,2019-20
Boston,00350000,24493,48.5,16345,32.4,10858,21.3,NA,NA,NA,NA,NA,NA,39011,76.7,29419,58.3,2019-20
Boston Collegiate Charter (District),04490000,97,14,34,4.9,109,15.7,NA,NA,NA,NA,NA,NA,344,49.6,210,30.3,2019-20
Boston Day and Evening Academy Charter (District),04240000,146,35.3,61,14.7,150,36.2,NA,NA,NA,NA,NA,NA,329,79.5,269,65,2019-20
Boston Green Academy Horace Mann Charter School (District),04110000,190,38,84,16.8,159,31.8,NA,NA,NA,NA,NA,NA,392,78.4,304,60.8,2019-20
Boston Preparatory Charter Public (District),04160000,213,36.7,108,18.6,124,21.3,NA,NA,NA,NA,NA,NA,428,73.7,295,50.8,2019-20
Boston Renaissance Charter Public (District),04810000,258,27.7,113,12.2,108,11.6,NA,NA,NA,NA,NA,NA,607,65.3,497,53.4,2019-20
Bourne,00360000,23,1.2,14,0.7,329,17.1,NA,NA,NA,NA,NA,NA,736,38.3,510,26.7,2019-20
Boxford,00380000,15,2,13,1.7,121,16.1,NA,NA,NA,NA,NA,NA,161,21.4,41,5.5,2019-20
Braintree,00400000,1064,18.4,339,5.8,1158,19.8,NA,NA,NA,NA,NA,NA,2298,39.3,1059,18.3,2019-20
Brewster,00410000,19,4,13,2.8,93,19.7,NA,NA,NA,NA,NA,NA,194,41.2,143,30.4,2019-20
Bridge Boston Charter School (District),04170000,138,41.3,100,29.9,79,23.7,NA,NA,NA,NA,NA,NA,272,81.4,210,62.9,2019-20
Bridgewater-Raynham,06250000,247,4.6,134,2.5,886,16.3,NA,NA,NA,NA,NA,NA,1664,30.6,957,17.7,2019-20
Brimfield,00430000,2,0.7,2,0.7,52,17.2,NA,NA,NA,NA,NA,NA,108,35.8,68,22.7,2019-20
Bristol County Agricultural,09100000,0,0,0,0,59,13.1,NA,NA,NA,NA,NA,NA,155,34.4,114,25.3,2019-20
Bristol-Plymouth Regional Vocational Technical,08100000,37,2.8,4,0.3,244,18.7,NA,NA,NA,NA,NA,NA,535,41,360,27.6,2019-20
Brockton,00440000,7100,44.3,4194,26.2,2672,16.6,NA,NA,NA,NA,NA,NA,11815,73.4,9212,57.5,2019-20
Brooke Charter School (District),04280000,654,33.2,141,7.2,204,10.4,NA,NA,NA,NA,NA,NA,1180,59.9,916,46.5,2019-20
Brookfield,00450000,3,1,1,0.3,42,13.7,NA,NA,NA,NA,NA,NA,121,39.4,98,31.9,2019-20
Brookline,00460000,2447,31.5,858,11,1277,16.3,NA,NA,NA,NA,NA,NA,2841,36.2,713,9.2,2019-20
Burlington,00480000,704,20.1,170,4.8,501,13.9,NA,NA,NA,NA,NA,NA,1051,29.2,445,12.7,2019-20
Cambridge,00490000,1994,28.1,534,7.5,1596,22.1,NA,NA,NA,NA,NA,NA,3379,46.7,1975,27.9,2019-20
Canton,00500000,219,6.6,80,2.4,353,10.5,NA,NA,NA,NA,NA,NA,856,25.6,478,14.5,2019-20
Cape Cod Lighthouse Charter (District),04320000,7,2.9,2,0.8,45,18.8,NA,NA,NA,NA,NA,NA,82,34.3,39,16.3,2019-20
Cape Cod Regional Vocational Technical,08150000,29,4.7,15,2.4,174,28.2,NA,NA,NA,NA,NA,NA,365,59.3,238,38.6,2019-20
Carlisle,00510000,26,4.4,20,3.4,112,18.5,NA,NA,NA,NA,NA,NA,158,26.1,26,4.4,2019-20
Carver,00520000,27,1.7,21,1.3,327,20.5,NA,NA,NA,NA,NA,NA,606,38.1,377,23.9,2019-20
Central Berkshire,06350000,13,0.8,7,0.4,225,14.3,NA,NA,NA,NA,NA,NA,607,38.5,475,30.4,2019-20
Chelmsford,00560000,898,17.9,210,4.2,831,16.3,NA,NA,NA,NA,NA,NA,1525,29.9,647,12.9,2019-20
Chelsea,00570000,5225,83.5,2660,42.5,993,15.5,NA,NA,NA,NA,NA,NA,5304,82.8,3994,63.9,2019-20
Chesterfield-Goshen,06320000,1,0.8,0,0,28,21.9,NA,NA,NA,NA,NA,NA,52,40.6,30,23.4,2019-20
Chicopee,00610000,984,13.5,418,5.8,1342,18.4,NA,NA,NA,NA,NA,NA,4512,61.8,3900,53.7,2019-20
Christa McAuliffe Charter Public (District),04180000,14,3.5,14,3.5,81,20.2,NA,NA,NA,NA,NA,NA,189,47.1,106,26.4,2019-20
City on a Hill Charter Public School Circuit Street (District),04370000,58,25.4,33,14.5,47,20.6,NA,NA,NA,NA,NA,NA,162,71.1,121,53.1,2019-20
City on a Hill Charter Public School Dudley Square (District),35040000,81,42,48,24.9,50,25.9,NA,NA,NA,NA,NA,NA,154,79.8,112,58,2019-20
City on a Hill Charter Public School New Bedford (District),35070000,69,46.3,34,22.8,48,32.2,NA,NA,NA,NA,NA,NA,126,84.6,110,73.8,2019-20
Clarksburg,00630000,0,0,0,0,38,19.2,NA,NA,NA,NA,NA,NA,93,47,69,35,2019-20
Clinton,00640000,504,26.5,237,12.5,404,20.9,NA,NA,NA,NA,NA,NA,1075,55.6,731,38.5,2019-20
Codman Academy Charter Public (District),04380000,62,18.3,43,12.7,74,21.8,NA,NA,NA,NA,NA,NA,244,72,209,61.7,2019-20
Cohasset,00650000,12,0.8,3,0.2,196,12.9,NA,NA,NA,NA,NA,NA,270,17.8,90,6,2019-20
Collegiate Charter School of Lowell (District),35030000,291,31.2,228,24.5,69,7.4,NA,NA,NA,NA,NA,NA,595,63.8,428,45.9,2019-20
Community Charter School of Cambridge (District),04360000,144,44.2,23,7.1,42,12.9,NA,NA,NA,NA,NA,NA,160,49.1,112,34.4,2019-20
Community Day Charter Public School - Gateway (District),04260000,261,65.3,90,22.5,43,10.8,NA,NA,NA,NA,NA,NA,313,78.3,204,51,2019-20
Community Day Charter Public School - Prospect (District),04400000,269,67.3,114,28.5,51,12.8,NA,NA,NA,NA,NA,NA,312,78,196,49,2019-20
Community Day Charter Public School - R. Kingman Webster (District),04310000,228,57.1,97,24.3,38,9.5,NA,NA,NA,NA,NA,NA,307,76.9,212,53.1,2019-20
Concord,00670000,169,8.2,59,2.9,378,18.1,NA,NA,NA,NA,NA,NA,552,26.4,136,6.6,2019-20
Concord-Carlisle,06400000,70,5.5,8,0.6,252,19.2,NA,NA,NA,NA,NA,NA,310,23.6,76,5.9,2019-20
Conservatory Lab Charter (District),04390000,98,21.6,75,16.6,59,13,NA,NA,NA,NA,NA,NA,316,69.8,247,54.5,2019-20
Conway,00680000,0,0,0,0,27,20.3,NA,NA,NA,NA,NA,NA,47,35.3,30,22.6,2019-20
Danvers,00710000,143,4.2,46,1.3,634,18.3,NA,NA,NA,NA,NA,NA,1118,32.2,598,17.5,2019-20
Dartmouth,00720000,109,3,69,1.9,602,16.6,NA,NA,NA,NA,NA,NA,1265,34.9,804,22.5,2019-20
Dedham,00730000,389,14.2,196,7.2,615,22.1,NA,NA,NA,NA,NA,NA,1130,40.7,597,21.8,2019-20
Deerfield,00740000,11,2.8,6,1.6,83,21.5,NA,NA,NA,NA,NA,NA,129,33.4,76,19.7,2019-20
Dennis-Yarmouth,06450000,568,19.5,318,10.9,572,19.3,NA,NA,NA,NA,NA,NA,1716,58,1269,43.6,2019-20
Dighton-Rehoboth,06500000,33,1.2,8,0.3,429,14.9,NA,NA,NA,NA,NA,NA,784,27.3,455,16,2019-20
Douglas,00770000,15,1.2,14,1.1,238,18.3,NA,NA,NA,NA,NA,NA,407,31.4,214,16.7,2019-20
Dover,00780000,32,6.5,25,5.1,72,14.6,NA,NA,NA,NA,NA,NA,105,21.3,7,1.4,2019-20
Dover-Sherborn,06550000,67,5.6,6,0.5,213,17.2,NA,NA,NA,NA,NA,NA,263,21.2,40,3.3,2019-20
Dracut,00790000,151,4.1,69,1.9,561,15,NA,NA,NA,NA,NA,NA,1392,37.3,920,25,2019-20
Dudley Street Neighborhood Charter School (District),04070000,117,43.2,108,39.9,36,13.3,NA,NA,NA,NA,NA,NA,215,79.3,163,60.1,2019-20
Dudley-Charlton Reg,06580000,291,7.9,121,3.3,591,15.8,NA,NA,NA,NA,NA,NA,1299,34.8,833,22.5,2019-20
Duxbury,00820000,58,2,9,0.3,437,14.6,NA,NA,NA,NA,NA,NA,591,19.7,184,6.2,2019-20
East Bridgewater,00830000,28,1.3,13,0.6,401,17.9,NA,NA,NA,NA,NA,NA,721,32.2,413,18.6,2019-20
East Longmeadow,00870000,194,7.5,42,1.6,496,18.8,NA,NA,NA,NA,NA,NA,893,33.9,484,18.7,2019-20
Eastham,00850000,18,9.3,6,3.1,34,17.5,NA,NA,NA,NA,NA,NA,89,45.9,67,34.5,2019-20
Easthampton,00860000,94,6.1,38,2.5,312,19.9,NA,NA,NA,NA,NA,NA,693,44.3,503,32.6,2019-20
Easton,00880000,191,5.3,62,1.7,658,18.2,NA,NA,NA,NA,NA,NA,1049,29,496,13.9,2019-20
Edgartown,00890000,141,36.1,83,21.2,85,21.7,NA,NA,NA,NA,NA,NA,222,56.8,129,33,2019-20
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,214,55.2,63,16.2,74,19.1,NA,NA,NA,NA,NA,NA,300,77.3,234,60.3,2019-20
Erving,00910000,2,1.5,2,1.5,27,20,NA,NA,NA,NA,NA,NA,56,41.5,35,26.3,2019-20
Essex North Shore Agricultural and Technical School District,08170000,115,7.7,4,0.3,247,16.6,NA,NA,NA,NA,NA,NA,478,32,265,17.8,2019-20
Everett,00930000,4625,65.5,1861,26.4,1110,15.5,NA,NA,NA,NA,NA,NA,5197,72.7,3729,52.8,2019-20
Excel Academy Charter (District),04100000,833,60.8,120,8.8,271,19.8,NA,NA,NA,NA,NA,NA,959,70,626,45.7,2019-20
Fairhaven,00940000,83,4.1,33,1.6,361,17.5,NA,NA,NA,NA,NA,NA,815,39.5,580,28.4,2019-20
Fall River,00950000,2806,27.4,1947,19,2341,22.6,NA,NA,NA,NA,NA,NA,8113,78.3,7164,70,2019-20
Falmouth,00960000,245,7.5,142,4.4,597,18.2,NA,NA,NA,NA,NA,NA,1371,41.7,959,29.5,2019-20
Farmington River Reg,06620000,0,0,0,0,23,21.9,NA,NA,NA,NA,NA,NA,48,45.7,35,33.3,2019-20
Fitchburg,00970000,1935,36.2,860,16.1,1296,23.7,NA,NA,NA,NA,NA,NA,3992,73,3306,61.9,2019-20
Florida,00980000,0,0,0,0,19,20,NA,NA,NA,NA,NA,NA,35,36.8,23,24.2,2019-20
Four Rivers Charter Public (District),04130000,4,1.8,0,0,28,12.9,NA,NA,NA,NA,NA,NA,70,32.3,52,24,2019-20
Foxborough,00990000,110,4.3,64,2.5,534,20.7,NA,NA,NA,NA,NA,NA,857,33.2,415,16.2,2019-20
Foxborough Regional Charter (District),04460000,310,18.7,124,7.5,156,9.4,NA,NA,NA,NA,NA,NA,688,41.5,407,24.5,2019-20
Framingham,01000000,4288,47.2,2283,25.1,2029,21.8,NA,NA,NA,NA,NA,NA,5699,61.2,3523,38.8,2019-20
Francis W. Parker Charter Essential (District),04780000,7,1.8,0,0,58,14.6,NA,NA,NA,NA,NA,NA,83,20.9,33,8.3,2019-20
Franklin,01010000,281,5.5,63,1.2,955,18.6,NA,NA,NA,NA,NA,NA,1378,26.8,526,10.4,2019-20
Franklin County Regional Vocational Technical,08180000,0,0,0,0,163,32.3,NA,NA,NA,NA,NA,NA,285,56.4,187,37,2019-20
Freetown-Lakeville,06650000,39,1.4,18,0.6,487,17,NA,NA,NA,NA,NA,NA,859,30,516,18.2,2019-20
Frontier,06700000,21,3.2,5,0.8,130,19.6,NA,NA,NA,NA,NA,NA,213,32.1,128,19.5,2019-20
Gardner,01030000,228,9.7,124,5.3,521,22,NA,NA,NA,NA,NA,NA,1468,62,1217,51.9,2019-20
Gateway,06720000,32,3.9,16,1.9,171,20.6,NA,NA,NA,NA,NA,NA,367,44.2,267,32.3,2019-20
Georgetown,01050000,19,1.4,0,0,237,17.2,NA,NA,NA,NA,NA,NA,319,23.1,119,8.7,2019-20
Gill-Montague,06740000,93,10,64,6.9,214,22.8,NA,NA,NA,NA,NA,NA,556,59.1,441,47.4,2019-20
Global Learning Charter Public (District),04960000,192,37.9,45,8.9,65,12.8,NA,NA,NA,NA,NA,NA,346,68.2,254,50.1,2019-20
Gloucester,01070000,311,10.9,199,7,758,26.2,NA,NA,NA,NA,NA,NA,1541,53.2,1070,37.5,2019-20
Gosnold,01090000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,2019-20
Grafton,01100000,111,3.5,58,1.8,649,20.1,NA,NA,NA,NA,NA,NA,968,30,419,13.1,2019-20
Granby,01110000,52,6.9,35,4.6,141,18.5,NA,NA,NA,NA,NA,NA,297,39,205,27.2,2019-20
Greater Fall River Regional Vocational Technical,08210000,105,7.3,20,1.4,152,10.6,NA,NA,NA,NA,NA,NA,634,44.2,533,37.2,2019-20
Greater Lawrence Regional Vocational Technical,08230000,718,45.1,203,12.8,285,17.9,NA,NA,NA,NA,NA,NA,1125,70.7,878,55.2,2019-20
Greater Lowell Regional Vocational Technical,08280000,577,25.4,205,9,422,18.6,NA,NA,NA,NA,NA,NA,1418,62.4,1017,44.8,2019-20
Greater New Bedford Regional Vocational Technical,08250000,405,19.1,73,3.4,224,10.5,NA,NA,NA,NA,NA,NA,1044,49.2,836,39.4,2019-20
Greenfield,01140000,171,10,94,5.5,324,18.5,NA,NA,NA,NA,NA,NA,1049,59.9,894,52,2019-20
Greenfield Commonwealth Virtual District,39010000,32,4.8,8,1.2,102,15.4,NA,NA,NA,NA,NA,NA,406,61.2,363,54.8,2019-20
Groton-Dunstable,06730000,63,2.7,32,1.4,393,16.5,NA,NA,NA,NA,NA,NA,535,22.5,163,6.9,2019-20
Hadley,01170000,38,7.2,26,4.9,83,15.5,NA,NA,NA,NA,NA,NA,172,32.2,107,20.2,2019-20
